QU_ID,QU_CONTENT,QU_OPTION1,QU_OPTION2,QU_OPTION3,QU_OPTION4,QU_ANSWER,QU_EXPLAIN,QU_TYPE,TP_ID,DIFFICULT_LEVEL
1,"After the flash flood, all the drains were overflowing _____ storm water.",from,with,for,by,2,explain,1,1,1
2,The ideas ______ in this essay are not particularly original.,are discussed,discussing,discussed,which are discussing,3,explain,1,1,2
4,What is the capital of England?,London,Paris,Berlin,Madrid,1,London is the capital of England.,1,3,1
5,Which of the following is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,1,The Nile is the longest river in the world.,1,3,2
6,What is the chemical symbol for water?,H2O,CO2,O2,NaCl,1,The chemical symbol for water is H2O.,1,2,3
7,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,1,Mars is known as the Red Planet.,1,3,4
8,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,1,The chemical symbol for gold is Au.,1,2,2
9,Which is the largest planet in our solar system?,Jupiter,Saturn,Neptune,Mars,1,Jupiter is the largest planet in our solar system.,1,3,3
10,What is the tallest mountain in the world?,Mount Everest,K2,Kilimanjaro,Matterhorn,1,Mount Everest is the tallest mountain in the world.,1,3,4
11,What gas do plants absorb from the atmosphere for photosynthesis?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,1,Plants absorb carbon dioxide for photosynthesis.,1,2,3
12,Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Michelangelo,1,Leonardo da Vinci painted the Mona Lisa.,1,1,2
13,What is the largest organ in the human body?,Skin,Heart,Liver,Lungs,1,The skin is the largest organ in the human body.,1,1,3
